capacity,soc,current,half_voltage,final_voltage
1119.11,93.26,40.36,1.83,3.66
1118.94,93.24,40.35,1.83,3.66
1118.77,93.23,40.36,1.83,3.66
1118.6,93.22,40.34,1.83,3.66
1118.43,93.2,40.35,1.83,3.66
1118.26,93.19,40.37,1.83,3.66
1118.09,93.17,40.34,1.83,3.66
1117.92,93.16,40.34,1.83,3.66
1117.74,93.15,40.32,1.83,3.66
1117.57,93.13,40.33,1.83,3.66
1117.4,93.12,40.34,1.83,3.66
1117.23,93.1,40.35,1.83,3.66
1117.06,93.09,40.34,1.83,3.66
1116.89,93.07,40.32,1.83,3.66
1116.72,93.06,40.34,1.83,3.66
1116.55,93.05,40.33,1.83,3.66
1116.38,93.03,40.32,1.83,3.66
1116.21,93.02,40.31,1.83,3.66
1116.04,93,40.31,1.83,3.66
1115.87,92.99,40.31,1.83,3.66
1115.7,92.97,40.3,1.83,3.66
1115.53,92.96,40.32,1.83,3.66
1115.36,92.95,40.33,1.83,3.66
1115.18,92.93,40.33,1.83,3.66
1115.01,92.92,40.31,1.83,3.66
1114.84,92.9,40.31,1.83,3.66
1114.67,92.89,40.3,1.83,3.66
1114.5,92.88,40.3,1.83,3.66
1114.33,92.86,40.27,1.83,3.66
1114.16,92.85,40.31,1.83,3.66
1113.99,92.83,40.27,1.83,3.66
1113.82,92.82,40.3,1.83,3.66
1113.65,92.8,40.31,1.83,3.66
1113.48,92.79,40.35,1.83,3.66
1113.31,92.78,40.34,1.83,3.66
1113.14,92.76,40.35,1.83,3.66
1112.97,92.75,40.34,1.83,3.66
1112.8,92.73,40.35,1.83,3.66
1112.63,92.72,40.35,1.83,3.66
1112.45,92.7,40.34,1.83,3.66
1112.28,92.69,40.35,1.83,3.66
1112.11,92.68,40.36,1.83,3.66
1111.94,92.66,40.4,1.83,3.66
1111.77,92.65,40.36,1.83,3.66
1111.6,92.63,40.37,1.83,3.66
1111.43,92.62,40.36,1.83,3.66
1111.26,92.6,40.37,1.83,3.66
1111.09,92.59,40.36,1.83,3.66
1110.92,92.58,40.36,1.83,3.66
1110.75,92.56,40.35,1.83,3.66
1110.58,92.55,40.32,1.83,3.66
1110.41,92.53,40.31,1.83,3.66
1110.24,92.52,40.29,1.83,3.66
1110.07,92.51,40.29,1.83,3.66
1109.89,92.49,40.27,1.83,3.66
1109.72,92.48,40.26,1.83,3.66
1109.55,92.46,40.26,1.83,3.66
1109.38,92.45,40.25,1.83,3.66
1109.21,92.43,40.26,1.83,3.66
1109.04,92.42,40.26,1.83,3.66
1108.87,92.41,40.29,1.83,3.66
1108.7,92.39,40.3,1.83,3.66
1108.53,92.38,40.3,1.83,3.66
1108.36,92.36,40.31,1.83,3.66
1108.19,92.35,40.32,1.83,3.66
1108.02,92.33,40.32,1.83,3.66
1107.85,92.32,40.19,1.83,3.66
1107.68,92.31,40.31,1.83,3.66
1107.51,92.29,40.3,1.83,3.66
1107.33,92.28,40.16,1.83,3.66
1107.16,92.26,40.13,1.83,3.66
1106.99,92.25,40.21,1.83,3.66
1106.82,92.24,40.22,1.83,3.66
1106.65,92.22,40.26,1.83,3.66
1106.48,92.21,40.25,1.83,3.66
1106.31,92.19,40.24,1.83,3.66
1106.14,92.18,40.24,1.83,3.66
1105.97,92.16,40.22,1.83,3.66
1105.8,92.15,40.23,1.83,3.66
1105.63,92.14,40.21,1.83,3.66
1105.46,92.12,40.2,1.83,3.66
1105.29,92.11,40.19,1.83,3.66
1105.12,92.09,40.21,1.83,3.66
1104.95,92.08,40.21,1.83,3.66
1104.77,92.06,40.2,1.83,3.66
1104.6,92.05,40.17,1.83,3.66
1104.43,92.04,40.18,1.83,3.66
1104.26,92.02,40.14,1.83,3.66
1104.09,92.01,40.14,1.83,3.66
1103.92,91.99,40.12,1.83,3.66
1103.75,91.98,40.12,1.83,3.66
1103.58,91.97,40.11,1.83,3.66
1103.41,91.95,40.13,1.83,3.66
1103.24,91.94,40.13,1.83,3.66
1103.07,91.92,40.15,1.83,3.66
1102.9,91.91,40.13,1.83,3.66
1102.73,91.89,40.16,1.83,3.66
1102.56,91.88,40.12,1.83,3.66
1102.39,91.87,40.12,1.83,3.66
1102.22,91.85,40.1,1.83,3.66
1102.04,91.84,40.09,1.83,3.66
1101.87,91.82,40.08,1.83,3.66
1101.7,91.81,40.07,1.83,3.66
1101.53,91.79,40.07,1.83,3.66
1101.36,91.78,40.07,1.83,3.66
1101.19,91.77,40.05,1.83,3.66
1101.02,91.75,40.06,1.83,3.66
1100.85,91.74,40.06,1.83,3.66
1100.68,91.72,40.06,1.83,3.66
1100.51,91.71,40.06,1.82,3.64
1100.34,91.69,40.05,1.83,3.66
1100.17,91.68,40.04,1.83,3.66
1100,91.67,40.03,1.82,3.64
1099.83,91.65,40.03,1.83,3.66
1099.66,91.64,40.05,1.83,3.66
1099.48,91.62,40.04,1.83,3.66
1099.31,91.61,40.04,1.82,3.64
1099.14,91.6,40.04,1.83,3.66
1098.97,91.58,40.04,1.83,3.66
1098.8,91.57,40.02,1.83,3.66
1098.63,91.55,40.02,1.83,3.66
1098.46,91.54,40.02,1.83,3.66
1098.29,91.52,40,1.83,3.66
1098.12,91.51,40.02,1.83,3.66
1097.95,91.5,40,1.83,3.66
1097.78,91.48,40.02,1.83,3.66
1097.61,91.47,39.97,1.83,3.66
1097.44,91.45,39.98,1.82,3.64
1097.27,91.44,39.97,1.83,3.66
1097.1,91.42,39.98,1.83,3.66
1096.92,91.41,39.96,1.83,3.66
1096.75,91.4,39.97,1.82,3.64
1096.58,91.38,39.97,1.82,3.64
1096.41,91.37,39.97,1.82,3.64
1096.24,91.35,39.96,1.82,3.64
1096.07,91.34,39.95,1.82,3.64
1095.9,91.33,39.93,1.83,3.66
1095.73,91.31,39.93,1.83,3.66
1095.56,91.3,39.93,1.82,3.64
1095.39,91.28,39.92,1.82,3.64
1095.22,91.27,39.91,1.82,3.64
1095.05,91.25,39.92,1.82,3.64
1094.88,91.24,39.93,1.82,3.64
1094.71,91.23,39.94,1.82,3.64
1094.54,91.21,39.94,1.82,3.64
1094.36,91.2,39.93,1.82,3.64
1094.19,91.18,39.93,1.82,3.64
1094.02,91.17,39.91,1.82,3.64
1093.85,91.15,39.89,1.82,3.64
1093.68,91.14,39.89,1.82,3.64
1093.51,91.13,39.9,1.82,3.64
1093.34,91.11,39.88,1.82,3.64
1093.17,91.1,39.87,1.82,3.64
1093,91.08,39.89,1.82,3.64
1092.83,91.07,39.89,1.82,3.64
1092.66,91.05,39.88,1.82,3.64
1092.49,91.04,39.86,1.82,3.64
1092.32,91.03,39.85,1.82,3.64
1092.15,91.01,39.85,1.82,3.64
1091.98,91,39.84,1.82,3.64
1091.81,90.98,39.84,1.82,3.64
1091.63,90.97,39.82,1.82,3.64
1091.46,90.96,39.83,1.82,3.64
1091.29,90.94,39.81,1.82,3.64
1091.12,90.93,39.8,1.82,3.64
1090.95,90.91,39.79,1.82,3.64
1090.78,90.9,39.78,1.82,3.64
1090.61,90.88,39.78,1.82,3.64
1090.44,90.87,39.76,1.82,3.64
1090.27,90.86,39.75,1.82,3.64
1090.1,90.84,39.74,1.82,3.64
1089.93,90.83,39.73,1.82,3.64
1089.76,90.81,39.75,1.82,3.64
1089.59,90.8,39.72,1.82,3.64
1089.42,90.78,39.74,1.82,3.64
1089.25,90.77,39.75,1.82,3.64
1089.07,90.76,39.76,1.82,3.64
1088.9,90.74,39.78,1.82,3.64
1088.73,90.73,39.76,1.82,3.64
1088.56,90.71,39.76,1.82,3.64
1088.39,90.7,39.74,1.82,3.64
1088.22,90.69,39.75,1.82,3.64
1088.05,90.67,39.75,1.82,3.64
1087.88,90.66,39.75,1.82,3.64
1087.71,90.64,39.75,1.82,3.64
1087.54,90.63,39.73,1.82,3.64
1087.37,90.61,39.73,1.82,3.64
1087.2,90.6,39.74,1.82,3.64
1087.03,90.59,39.73,1.82,3.64
1086.86,90.57,39.75,1.82,3.64
1086.69,90.56,39.76,1.82,3.64
