capacity,soc,current,half_voltage,final_voltage
950.34,95.03,87.92,2.04,4.08
950.17,95.02,87.82,2.04,4.08
950,95,87.75,2.04,4.08
949.83,94.98,87.66,2.04,4.08
949.66,94.97,87.9,2.04,4.08
949.49,94.95,87.74,2.04,4.08
949.32,94.93,87.63,2.04,4.08
949.15,94.91,87.54,2.05,4.1
948.97,94.9,87.48,2.05,4.1
948.8,94.88,87.42,2.05,4.1
948.63,94.86,87.43,2.05,4.1
948.46,94.85,87.33,2.05,4.1
948.29,94.83,87.2,2.05,4.1
948.12,94.81,87.13,2.05,4.1
947.95,94.79,87.03,2.06,4.12
947.78,94.78,86.92,2.05,4.1
947.61,94.76,87.25,2.05,4.1
947.44,94.74,87.04,2.06,4.12
947.27,94.73,86.92,2.06,4.12
947.1,94.71,87.02,2.06,4.12
946.93,94.69,86.9,2.06,4.12
946.76,94.68,86.75,2.06,4.12
946.59,94.66,86.89,2.05,4.1
946.41,94.64,86.97,2.06,4.12
946.24,94.62,86.92,2.06,4.12
946.07,94.61,86.93,2.06,4.12
945.9,94.59,86.93,2.06,4.12
945.73,94.57,86.76,2.06,4.12
945.56,94.56,86.71,2.06,4.12
945.39,94.54,86.76,2.06,4.12
945.22,94.52,86.76,2.06,4.12
945.05,94.5,86.75,2.06,4.12
944.88,94.49,87.37,2.05,4.1
944.71,94.47,87.45,2.05,4.1
944.54,94.45,87.37,2.05,4.1
944.37,94.44,87.28,2.05,4.1
944.2,94.42,87.21,2.05,4.1
944.03,94.4,87.13,2.06,4.12
943.85,94.38,87.06,2.06,4.12
943.68,94.37,87,2.06,4.12
943.51,94.35,86.99,2.06,4.12
943.34,94.33,86.97,2.06,4.12
943.17,94.32,87.05,2.06,4.12
943,94.3,87.07,2.06,4.12
942.83,94.28,87.02,2.06,4.12
942.66,94.27,86.96,2.06,4.12
942.49,94.25,86.92,2.06,4.12
942.32,94.23,87.12,2.05,4.1
942.15,94.21,87.43,2.05,4.1
941.98,94.2,87.37,2.06,4.12
941.81,94.18,87.29,2.06,4.12
941.64,94.16,87.2,2.06,4.12
941.47,94.15,87.1,2.06,4.12
941.29,94.13,87.02,2.07,4.14
941.12,94.11,86.96,2.16,4.32
940.95,94.09,86.86,2.13,4.26
940.78,94.08,86.78,2.11,4.22
940.61,94.06,86.79,2.1,4.2
940.44,94.04,86.84,2.09,4.18
940.27,94.03,86.82,2.09,4.18
940.1,94.01,87.24,2.06,4.12
939.93,93.99,87.47,2.08,4.16
939.76,93.98,87.33,2.08,4.16
939.59,93.96,87.21,2.08,4.16
939.42,93.94,87.09,2.09,4.18
939.25,93.92,87.04,2.08,4.16
939.08,93.91,86.99,2.09,4.18
938.91,93.89,86.93,2.09,4.18
938.74,93.87,86.94,2.09,4.18
938.56,93.86,86.91,2.09,4.18
938.39,93.84,86.84,2.1,4.2
938.22,93.82,86.75,2.1,4.2
938.05,93.8,86.69,2.1,4.2
937.88,93.79,86.64,2.1,4.2
937.71,93.77,86.55,2.1,4.2
937.54,93.75,86.53,2.1,4.2
937.37,93.74,86.49,2.1,4.2
937.2,93.72,86.55,2.1,4.2
937.03,93.7,86.59,2.1,4.2
936.86,93.69,86.53,2.1,4.2
936.69,93.67,86.47,2.1,4.2
936.52,93.65,86.62,2.1,4.2
936.35,93.63,86.77,2.09,4.18
936.18,93.62,87.14,2.09,4.18
936,93.6,86.84,2.1,4.2
935.83,93.58,86.79,2.09,4.18
935.66,93.57,86.79,2.1,4.2
935.49,93.55,86.78,2.11,4.22
935.32,93.53,86.72,2.08,4.16
935.15,93.51,86.71,2.09,4.18
934.98,93.5,86.75,2.1,4.2
934.81,93.48,86.67,2.11,4.22
934.64,93.46,86.57,2.11,4.22
934.47,93.45,86.5,2.11,4.22
934.3,93.43,86.58,2.1,4.2
934.13,93.41,86.74,2.1,4.2
933.96,93.4,86.68,2.1,4.2
933.79,93.38,86.67,2.1,4.2
933.62,93.36,86.67,2.1,4.2
933.44,93.34,86.68,2.1,4.2
933.27,93.33,86.7,2.1,4.2
933.1,93.31,86.71,2.1,4.2
932.93,93.29,86.71,2.1,4.2
932.76,93.28,87.05,2.08,4.16
932.59,93.26,87.34,2.08,4.16
932.42,93.24,87.33,2.08,4.16
932.25,93.22,87.27,2.08,4.16
932.08,93.21,87.29,2.09,4.18
931.91,93.19,87.22,2.09,4.18
931.74,93.17,87.21,2.09,4.18
931.57,93.16,87.21,2.09,4.18
931.4,93.14,87.25,2.09,4.18
931.23,93.12,87.23,2.09,4.18
931.06,93.1,87.05,2.1,4.2
930.89,93.09,86.71,2.11,4.22
930.71,93.07,86.86,2.09,4.18
930.54,93.05,87.59,2.09,4.18
930.37,93.04,87.67,2.08,4.16
930.2,93.02,87.75,2.08,4.16
930.03,93,87.89,2.08,4.16
929.86,92.99,87.94,2.08,4.16
929.69,92.97,87.95,2.08,4.16
929.52,92.95,87.94,2.08,4.16
929.35,92.93,87.9,2.08,4.16
929.18,92.92,87.9,2.08,4.16
929.01,92.9,87.89,2.08,4.16
928.84,92.88,87.86,2.08,4.16
928.67,92.87,87.85,2.08,4.16
928.5,92.85,87.85,2.08,4.16
928.33,92.83,87.86,2.08,4.16
928.15,92.81,87.88,2.08,4.16
927.98,92.8,87.9,2.08,4.16
927.81,92.78,87.88,2.08,4.16
927.64,92.76,87.88,2.08,4.16
927.47,92.75,87.89,2.08,4.16
927.3,92.73,87.89,2.08,4.16
927.13,92.71,87.89,2.08,4.16
926.96,92.7,87.87,2.08,4.16
926.79,92.68,87.86,2.08,4.16
926.62,92.66,87.84,2.09,4.18
926.45,92.64,87.87,2.09,4.18
926.28,92.63,87.77,2.09,4.18
926.11,92.61,87.84,2.09,4.18
925.94,92.59,87.87,2.09,4.18
925.77,92.58,87.85,2.08,4.16
925.59,92.56,87.86,2.08,4.16
925.42,92.54,87.84,2.08,4.16
925.25,92.52,87.84,2.08,4.16
925.08,92.51,87.8,2.08,4.16
924.91,92.49,87.79,2.08,4.16
924.74,92.47,87.8,2.08,4.16
924.57,92.46,87.76,2.08,4.16
924.4,92.44,87.73,2.08,4.16
924.23,92.42,87.7,2.08,4.16
