capacity,soc,current,half_voltage,final_voltage
1062.11,96.55,47.68,2.04,4.08
1061.94,96.54,47.69,2.04,4.08
1061.77,96.52,47.69,2.04,4.08
1061.6,96.51,47.66,2.04,4.08
1061.43,96.49,47.67,2.04,4.08
1061.26,96.48,47.68,2.04,4.08
1061.09,96.46,47.66,2.04,4.08
1060.92,96.45,47.66,2.04,4.08
1060.75,96.43,47.65,2.04,4.08
1060.58,96.42,47.64,2.04,4.08
1060.41,96.4,47.66,2.04,4.08
1060.24,96.38,47.66,2.04,4.08
1060.07,96.37,47.64,2.04,4.08
1059.9,96.35,47.64,2.04,4.08
1059.73,96.34,47.66,2.04,4.08
1059.55,96.32,47.65,2.04,4.08
1059.38,96.31,47.66,2.04,4.08
1059.21,96.29,47.65,2.04,4.08
1059.04,96.28,47.63,2.04,4.08
1058.87,96.26,47.64,2.04,4.08
1058.7,96.24,47.62,2.04,4.08
1058.53,96.23,47.62,2.04,4.08
1058.36,96.21,47.64,2.04,4.08
1058.19,96.2,47.64,2.04,4.08
1058.02,96.18,47.63,2.04,4.08
1057.85,96.17,47.63,2.04,4.08
1057.68,96.15,47.61,2.04,4.08
1057.51,96.14,47.63,2.04,4.08
1057.34,96.12,47.63,2.04,4.08
1057.17,96.1,47.62,2.04,4.08
1057,96.09,47.62,2.04,4.08
1056.82,96.07,47.61,2.04,4.08
1056.65,96.06,47.62,2.05,4.1
1056.48,96.04,47.63,2.04,4.08
1056.31,96.03,47.63,2.04,4.08
1056.14,96.01,47.64,2.04,4.08
1055.97,96,47.61,2.04,4.08
1055.8,95.98,47.61,2.04,4.08
1055.63,95.97,47.6,2.04,4.08
1055.46,95.95,47.61,2.04,4.08
1055.29,95.93,47.61,2.04,4.08
1055.12,95.92,47.6,2.04,4.08
1054.95,95.9,47.6,2.06,4.12
1054.78,95.89,47.61,2.04,4.08
1054.61,95.87,47.6,2.04,4.08
1054.44,95.86,47.6,2.06,4.12
1054.26,95.84,47.6,2.05,4.1
1054.09,95.83,47.6,2.04,4.08
1053.92,95.81,47.6,2.04,4.08
1053.75,95.79,47.61,2.04,4.08
1053.58,95.78,47.6,2.05,4.1
1053.41,95.76,47.59,2.04,4.08
1053.24,95.75,47.6,2.04,4.08
1053.07,95.73,47.61,2.04,4.08
1052.9,95.72,47.58,2.04,4.08
1052.73,95.7,47.6,2.04,4.08
1052.56,95.69,47.62,2.04,4.08
1052.39,95.67,47.6,2.04,4.08
1052.22,95.65,47.6,2.04,4.08
1052.05,95.64,47.6,2.04,4.08
1051.88,95.62,47.6,2.04,4.08
1051.7,95.61,47.58,2.04,4.08
1051.53,95.59,47.6,2.04,4.08
1051.36,95.58,47.58,2.04,4.08
1051.19,95.56,47.64,2.04,4.08
1051.02,95.55,47.6,2.04,4.08
1050.85,95.53,47.59,2.04,4.08
1050.68,95.52,47.59,2.04,4.08
1050.51,95.5,47.59,2.04,4.08
1050.34,95.48,47.58,2.04,4.08
1050.17,95.47,47.61,2.04,4.08
1050,95.45,47.6,2.04,4.08
1049.83,95.44,47.58,2.04,4.08
1049.66,95.42,47.59,2.04,4.08
1049.49,95.41,47.59,2.04,4.08
1049.32,95.39,47.59,2.04,4.08
1049.15,95.38,47.59,2.06,4.12
1048.97,95.36,47.57,2.04,4.08
1048.8,95.34,47.57,2.04,4.08
1048.63,95.33,47.57,2.04,4.08
1048.46,95.31,47.57,2.04,4.08
1048.29,95.3,47.56,2.06,4.12
1048.12,95.28,47.57,2.04,4.08
1047.95,95.27,47.59,2.04,4.08
1047.78,95.25,47.59,2.06,4.12
1047.61,95.24,47.58,2.04,4.08
1047.44,95.22,47.57,2.04,4.08
1047.27,95.2,47.57,2.04,4.08
1047.1,95.19,47.57,2.06,4.12
1046.93,95.17,47.55,2.04,4.08
1046.76,95.16,47.58,2.04,4.08
1046.59,95.14,47.56,2.04,4.08
1046.41,95.13,47.54,2.04,4.08
1046.24,95.11,47.55,2.04,4.08
1046.07,95.1,47.55,2.04,4.08
1045.9,95.08,47.58,2.04,4.08
1045.73,95.07,47.56,2.04,4.08
1045.56,95.05,47.55,2.04,4.08
1045.39,95.03,47.56,2.04,4.08
1045.22,95.02,47.54,2.04,4.08
1045.05,95,47.54,2.04,4.08
1044.88,94.99,47.54,2.04,4.08
1044.71,94.97,47.54,2.04,4.08
1044.54,94.96,47.53,2.04,4.08
1044.37,94.94,47.53,2.04,4.08
1044.2,94.93,47.53,2.04,4.08
1044.03,94.91,47.54,2.04,4.08
1043.85,94.89,47.54,2.04,4.08
1043.68,94.88,47.53,2.04,4.08
1043.51,94.86,47.54,2.04,4.08
1043.34,94.85,47.55,2.04,4.08
1043.17,94.83,47.53,2.04,4.08
1043,94.82,47.54,2.04,4.08
1042.83,94.8,47.55,2.04,4.08
1042.66,94.79,47.53,2.04,4.08
1042.49,94.77,47.53,2.04,4.08
1042.32,94.75,47.53,2.04,4.08
1042.15,94.74,47.52,2.04,4.08
1041.98,94.72,47.54,2.04,4.08
1041.81,94.71,47.53,2.04,4.08
1041.64,94.69,47.52,2.04,4.08
1041.47,94.68,47.52,2.04,4.08
1041.29,94.66,47.53,2.04,4.08
1041.12,94.65,47.52,2.04,4.08
1040.95,94.63,47.52,2.04,4.08
1040.78,94.62,47.53,2.04,4.08
1040.61,94.6,47.53,2.04,4.08
1040.44,94.58,47.53,2.04,4.08
1040.27,94.57,47.53,2.04,4.08
1040.1,94.55,47.52,2.04,4.08
1039.93,94.54,47.52,2.04,4.08
1039.76,94.52,47.54,2.06,4.12
1039.59,94.51,47.53,2.04,4.08
1039.42,94.49,47.52,2.04,4.08
1039.25,94.48,47.52,2.06,4.12
1039.08,94.46,47.52,2.04,4.08
1038.91,94.44,47.54,2.04,4.08
1038.74,94.43,47.52,2.04,4.08
1038.56,94.41,47.53,2.04,4.08
1038.39,94.4,47.52,2.04,4.08
1038.22,94.38,47.53,2.04,4.08
1038.05,94.37,47.53,2.04,4.08
1037.88,94.35,47.52,2.04,4.08
1037.71,94.34,47.53,2.04,4.08
1037.54,94.32,47.52,2.04,4.08
1037.37,94.3,47.52,2.04,4.08
1037.2,94.29,47.53,2.04,4.08
1037.03,94.27,47.53,2.04,4.08
1036.86,94.26,47.51,2.04,4.08
1036.69,94.24,47.52,2.04,4.08
1036.52,94.23,47.51,2.03,4.06
1036.35,94.21,47.5,2.05,4.1
1036.18,94.2,47.52,2.04,4.08
1036,94.18,47.52,2.04,4.08
1035.83,94.17,47.5,2.04,4.08
1035.66,94.15,47.52,2.04,4.08
1035.49,94.13,47.51,2.04,4.08
1035.32,94.12,47.52,2.04,4.08
1035.15,94.1,47.51,2.04,4.08
1034.98,94.09,47.51,2.04,4.08
1034.81,94.07,47.51,2.03,4.06
1034.64,94.06,47.51,2.03,4.06
1034.47,94.04,47.51,2.05,4.1
1034.3,94.03,47.52,2.03,4.06
1034.13,94.01,47.49,2.03,4.06
1033.96,93.99,47.51,2.03,4.06
1033.79,93.98,47.52,2.03,4.06
1033.62,93.96,47.5,2.05,4.1
1033.44,93.95,47.5,2.03,4.06
1033.27,93.93,47.51,2.03,4.06
1033.1,93.92,47.52,2.03,4.06
1032.93,93.9,47.52,2.03,4.06
1032.76,93.89,47.52,2.03,4.06
1032.59,93.87,47.51,2.03,4.06
1032.42,93.85,47.49,2.03,4.06
1032.25,93.84,47.5,2.03,4.06
1032.08,93.82,47.52,2.03,4.06
1031.91,93.81,47.49,2.03,4.06
1031.74,93.79,47.51,2.03,4.06
1031.57,93.78,47.5,2.03,4.06
1031.4,93.76,47.52,2.03,4.06
1031.23,93.75,47.49,2.05,4.1
1031.06,93.73,47.5,2.05,4.1
1030.89,93.72,47.51,2.03,4.06
1030.71,93.7,47.49,2.03,4.06
1030.54,93.68,47.51,2.03,4.06
1030.37,93.67,47.51,2.05,4.1
1030.2,93.65,47.51,2.03,4.06
1030.03,93.64,47.51,2.03,4.06
1029.86,93.62,47.51,2.03,4.06
1029.69,93.61,47.52,2.02,4.04
1029.52,93.59,47.51,2.02,4.04
1029.35,93.58,47.51,2.03,4.06
1029.18,93.56,47.49,2.02,4.04
1029.01,93.54,47.49,2.05,4.1
1028.84,93.53,47.5,2.02,4.04
1028.67,93.51,47.49,2.03,4.06
1028.5,93.5,47.51,2.02,4.04
1028.33,93.48,47.48,2.02,4.04
1028.15,93.47,47.49,2.02,4.04
1027.98,93.45,47.5,2.02,4.04
1027.81,93.44,47.49,2.02,4.04
1027.64,93.42,47.48,2.02,4.04
1027.47,93.4,47.5,2.02,4.04
1027.3,93.39,47.47,2.02,4.04
1027.13,93.37,47.48,2.02,4.04
1026.96,93.36,47.51,2.02,4.04
1026.79,93.34,47.48,2.02,4.04
1026.62,93.33,47.47,2.02,4.04
1026.45,93.31,47.5,2.02,4.04
1026.28,93.3,47.48,2.02,4.04
1026.11,93.28,47.48,2.02,4.04
1025.94,93.27,47.49,2.02,4.04
1025.77,93.25,47.49,2.02,4.04
1025.59,93.23,47.48,2.02,4.04
1025.42,93.22,47.47,2.05,4.1
1025.25,93.2,47.48,2.02,4.04
1025.08,93.19,47.48,2.02,4.04
1024.91,93.17,47.49,2.02,4.04
